,coef
love,-0.7967671132246156
vote,-0.7211929792796465
kiss,-0.6679512147315163
good,-0.6601189441318215
success,-0.6548988890263512
amazing,-0.6198410818037559
beautiful,-0.5928977624280098
win,-0.5433861220014363
lol,-0.5404148108567736
enjoy,-0.5095905489178086
golden,-0.49880796959268275
lmao,-0.48619056931225524
player,-0.48347914549254356
song,-0.48285932371878126
truth,-0.4790033082539755
perfect,-0.4720235632660956
favorite,-0.45453316549291933
engage,-0.4271341001904169
great,-0.4115090413836129
freedom,-0.4014772973919802
smart,-0.3981634225342825
popular,-0.3937974440044855
compare,-0.3923121126173725
prayer,-0.3827759341470484
awesome,-0.38169163158801334
play,-0.37748705488645473
add,-0.3754833022842957
top,-0.37504468089563164
super,-0.3598180928792913
bless,-0.35930972011746404
join we,-0.3587306843735279
lovely,-0.35753160718184873
like,-0.3547615908698809
support,-0.3523351532507563
clearly,-0.3518547469827795
title,-0.3512135190490359
hopefully,-0.3447138546590978
true,-0.3414258630326046
special,-0.333008539278062
well,-0.3285931290321756
floor,-0.3210895826613447
thank,-0.3180895839451127
nt see,-0.3129094605739375
champion,-0.31157626539128364
rich,-0.3027206843468576
create,-0.2988332767162606
quote,-0.2986552857326361
successful,-0.2954996548008554
male,-0.2918626436376764
surprised,-0.29112337450875225
inspire,-0.28826920029452024
mention,-0.2878908352203576
easy,-0.2871425109456073
ensure,-0.2847863228459738
cover,-0.2843890511779636
area,-0.2799181104102074
award,-0.2792735637430863
safe,-0.27897713798576596
switch,-0.2786891022842501
faith,-0.27828421240371637
government,-0.27810049158573524
fast,-0.2772295297191322
chance,-0.276453190194287
marry,-0.2709202770924895
yea,-0.26914279195655644
catch,-0.2679438387672599
group,-0.2650238527335599
court,-0.26447977694859454
make sure,-0.2643343540584488
cute,-0.2639986403551275
air,-0.2632298143309064
happy,-0.25946748636465833
celebrate,-0.2577091661162624
holiday,-0.2571770402031294
interest,-0.25714837310433386
music video,-0.2553069059779305
mv,-0.25435260876565835
join,-0.2530166083176807
heart,-0.2518464692049044
luck,-0.24326726239992733
artist,-0.2408732281084428
team,-0.24044566605181228
debut,-0.23940737114614233
free,-0.23868721910711388
yes,-0.23590716244957058
fair,-0.2342379290258215
look,-0.2327368883291023
benefit,-0.2307376645757879
nct,-0.23007763965290964
justice,-0.22968871681025385
wear,-0.22875419656072005
limit,-0.2271471865504731
nt really,-0.22688009492374467
line,-0.22605957244050806
recommend,-0.22567006069469034
bathroom,-0.22439014749731379
quiet,-0.22337218939957948
strong,-0.22258474946940346
like one,-0.22207083176577883
haha,-0.22203371463627453
design,-0.21982816372499175
we ve,-0.21919751111675975
cool,-0.21814186195137505
point,-0.21742085165453032
idea,-0.2125917374497122
third,-0.21161869549388695
october,-0.20902678307895836
return,-0.20878883678509355
still suffer,-0.2081787357743812
share,-0.2077048061259766
original,-0.20712177135587653
door,-0.206821975762305
spirit,-0.20525112648120805
burn,-0.20518394808436247
really do,-0.20419471666322603
first,-0.20358959523289405
really want,-0.20345219555920624
account,-0.20285150008231076
hand,-0.2016951541065018
leadership,-0.20156446178006898
feature,-0.2014819110748812
case,-0.20022508934238675
trade,-0.1988884882742416
na get,-0.19875170866600067
last time,-0.19602161090077225
click,-0.1958615004433073
pre,-0.19437403805277575
register,-0.19335044970391585
video,-0.19304030295227265
provide,-0.192223482647841
key,-0.1911666995079986
powerful,-0.1885692819058101
blow,-0.18777114716392493
topic,-0.1869921408465854
middle,-0.18670990827199233
nice,-0.18624933212815079
decision,-0.1852128037327743
official,-0.184870394812179
glad,-0.18115981266585288
queen,-0.1811572318633979
voting,-0.17965603088180399
member,-0.17861523637027676
hope,-0.17832968938544422
hello,-0.1767412213457736
election,-0.17651779483493285
trust,-0.17607066606968824
click link,-0.1753296475124097
today day,-0.1726741492082216
coach,-0.1720384903963899
everywhere,-0.17128010217397008
phase,-0.1698704052457839
gift,-0.1697027545935089
pretty sure,-0.169516294637273
virtual,-0.16853706001228894
congratulation,-0.16773556386329141
agree,-0.1676139489912462
senate,-0.16760657340367655
dm,-0.1664823466574342
protect,-0.16595212666778006
participate,-0.16575551782269848
impossible,-0.16572365320781104
fit,-0.1649393193802221
much hate,-0.1647987439119133
lt,-0.1645427851021035
grateful,-0.16309780562195692
perform,-0.16232621281942666
thousand,-0.161920838277622
anyone else,-0.16190130908451023
justin bieber,-0.16176269001074417
bieber,-0.16176269001074417
laugh,-0.16165072978033126
grant,-0.16119267795297904
today want,-0.16059143587369476
feel like,-0.16048077745372674
end,-0.16046111362384596
important,-0.16008036852402913
warm,-0.15982961308700086
opportunity,-0.15934429152169935
favourite,-0.15899170674813287
king,-0.15892627828572425
along,-0.15717519864326981
local,-0.15683089460540875
increase,-0.15616698942065518
wall,-0.15589961409602607
nah,-0.1546832972124215
everybody,-0.15350099760253827
pop,-0.15284783426212614
sound,-0.15189746152248623
feel good,-0.15144969700623304
podcast,-0.15142958374769938
work hard,-0.1503903008302613
proud,-0.1498742168280289
positive,-0.14984240473974658
lucky,-0.14980704422413454
certainly,-0.14938607122723327
nicki,-0.1490482604075266
comfortable,-0.14885362970753563
pure,-0.1485524289312065
available,-0.1484970888989192
pretty,-0.14808539513454083
many time,-0.14748519938426147
bright,-0.14735633243319096
funny,-0.14628731561071856
accept,-0.14598035545842608
ready,-0.1450927785788879
sort,-0.14497929257818204
would love,-0.1443407840102503
little,-0.14218664171502887
definitely,-0.14062419857588734
development,-0.1405479261424336
serve,-0.14025096797311956
cost,-0.13963911144439511
snow,-0.13943138615936576
world,-0.13941734683449683
female,-0.13892178272631872
fine line,-0.1383476120691356
course,-0.1381803292547937
produce,-0.13779442231668393
happiness,-0.13765980025944924
version,-0.13754232739910113
vote nct,-0.13741662081446107
language,-0.13717933283500378
nct favorite,-0.137160511061157
take care,-0.13592931654521234
light,-0.13573060726352054
vote favorite,-0.13516793876969155
access,-0.13508624532860683
send,-0.13497454534439834
harry,-0.13409380705994497
later,-0.13353279173718685
product,-0.13260452474578863
price,-0.13236210201553045
via,-0.13186621259975567
welcome,-0.13174506379109116
defense,-0.13152146817704122
wonderful,-0.13029713673321638
street,-0.12987946568146685
knowledge,-0.12966604721994215
favorite song,-0.12929333767162637
ability,-0.12916418845328942
sure,-0.1288888036234075
tag,-0.12820257793176953
park,-0.12754369645162011
rough,-0.12731059081266846
process,-0.12713757457706332
lead,-0.12502421838884112
interview,-0.12259252137930628
god,-0.12239118969941722
figure,-0.12226701052578459
whatever,-0.12217100724610933
boy,-0.12212657637885306
exo,-0.12206476530683319
th,-0.12110143335092442
test,-0.12096458299959247
clear,-0.12008180030340981
industry,-0.11982952487311856
news,-0.11952979316950972
future,-0.11942452072707513
target,-0.11924231856855107
let know,-0.11923359457983407
opposite,-0.1190964564235294
justin,-0.1185731369604459
list,-0.11766130832617015
request,-0.11746717301143006
ahead,-0.11731048360922237
em,-0.11701342635733987
slow,-0.11546814056278507
color,-0.11431060920112525
round,-0.11355672695114104
overall,-0.11230745176830755
require,-0.11201793686875065
party,-0.11159559250718099
meet,-0.110530754877561
halloween,-0.1098171087418257
challenge,-0.10974690536052895
fun,-0.10972995576727458
credit,-0.10952651470207617
always,-0.10923225344382849
goal,-0.10788522037245353
hey,-0.10769941102807291
rest,-0.10694148264645317
concept,-0.10677445482094935
article,-0.10666496962250119
month ago,-0.10655791296402642
kind,-0.10652247778826152
gym,-0.10618567347546155
among,-0.10582970317430321
promise,-0.10577594062863588
religion,-0.1053734572331938
hear,-0.10531516385405573
building,-0.1028022794119226
help,-0.10274971090949944
nt get,-0.10251704112559179
focus,-0.10160991391111564
road,-0.10113253497927141
country,-0.1006122849570044
exactly,-0.10051262563655745
social artist,-0.10051050214898542
favorite social,-0.10051050214898542
dream,-0.09990136325375305
quality,-0.09879469556228532
know people,-0.09867465594573577
retweet,-0.09867363458699943
artist ama,-0.09858524620046759
ama,-0.09840370782683383
make bad,-0.09826549843068105
build,-0.09751235465151113
irl,-0.09530666394356815
law,-0.09471094148291645
non,-0.09461196559282792
control,-0.09409387867417947
plan,-0.09324333368674338
treat,-0.09137327281414652
sm,-0.09099033973452655
health,-0.09079345272273043
eye,-0.09022911662897472
beat,-0.09009952650056474
security,-0.0900755435468979
mr,-0.0889601147280772
take time,-0.08853260464074171
stock,-0.08846776502951983
easily,-0.08845569331968085
front,-0.08827981793455614
certain,-0.08800899446731986
family,-0.08791879912756267
know feel,-0.08751051170120583
strength,-0.08724809844930762
value,-0.0869232990246764
doctor,-0.08676209094305849
roll,-0.08650232091924207
thank much,-0.08642659237502553
voter,-0.08632549587486316
muslim,-0.0856060178926674
one good,-0.08547013885782953
develop,-0.08468060060692699
friend,-0.0842230287684631
state,-0.08406934321492689
feel way,-0.08376110102975204
candidate,-0.08370775816842531
car,-0.08362922642935139
fr,-0.08353672768686937
professional,-0.08320129999413323
rd,-0.08257968086661607
enter,-0.08184419088845667
information,-0.0813509602707004
care,-0.0805928569495712
today one,-0.08050624367830142
ya,-0.07988805413698126
code,-0.07946659822174744
announce,-0.07942606131482985
creative,-0.07930260966459038
alternative,-0.07916323148441505
bag,-0.07891173554743593
box,-0.07845700184645618
youtube,-0.07823842796517007
perspective,-0.07794739257018778
pro,-0.07788277762228446
medicine,-0.07784769797503943
brown,-0.0773423489109936
producer,-0.07638166912847971
promote,-0.07623708456222622
mine,-0.07574036496379125
see people,-0.07495392321917893
source,-0.07481493780425644
omg,-0.07474923610137618
chemistry,-0.07446334923071293
take away,-0.07401691911181521
pick,-0.07284571315945748
detail,-0.07277638732017322
effect,-0.07233075974221231
empty,-0.07209057017817412
example,-0.07205977230064063
ah,-0.07014304099554793
book,-0.06975709115643422
earth,-0.06963481551919377
christian,-0.06898796776241055
style,-0.06827953789145008
dear,-0.0679392945419843
immediately,-0.06702975750363613
political,-0.06688308970089764
worth,-0.06683620725559834
excited,-0.0668224170437507
soon,-0.0662400464272473
none,-0.06621989726208445
big,-0.06549947652255979
pass,-0.06529593367461145
grab,-0.06475505367200715
food,-0.06469662254334166
touch,-0.0637320938678058
around,-0.06370105354831439
ta,-0.06359957278262403
single day,-0.06338880761048045
fact,-0.06324807989966784
receive,-0.06279779618415364
ever feel,-0.0627969080092889
ground,-0.062461472121833776
existence,-0.062151388784426144
sunday,-0.06183895591494749
sound like,-0.061831643226363434
electronic,-0.061575289866857084
history,-0.061356402076724124
nt know,-0.06078803716971526
city,-0.060672131204437145
possible,-0.05919871141598074
swear,-0.05912066734178172
datum,-0.05907147851830161
per,-0.05888428273249571
tweet,-0.058763522659516745
schedule,-0.05779686317649494
okay,-0.05778896650468718
might,-0.05770513861378575
d,-0.057353559329256995
zoom,-0.05632877326257327
solution,-0.0550205187028747
large,-0.054818716136652054
way,-0.054751180538405886
growth,-0.05472646639557986
drag,-0.054348832006990005
effort,-0.05346972725530184
video game,-0.053269868627142954
quick,-0.053210558664193865
theme,-0.05314579976640703
stress anxiety,-0.052923971792868084
album,-0.052610373536475574
come back,-0.05247931399361961
every time,-0.05198271823458133
day like,-0.05164393401079485
moon,-0.05137278615276911
center,-0.051146820320384805
rap,-0.05096203520428417
interested,-0.05063686804345051
twice,-0.05060778062798658
buy,-0.05050877774515281
want feel,-0.04993301643970082
rock,-0.049506272189841605
public,-0.04950359221513249
united,-0.049380937443720414
leader,-0.04906835266769087
be nt,-0.04887915079550944
be,-0.04887915079550944
type,-0.04833442114006633
ever see,-0.048151686307433675
update,-0.047860250581682855
bio,-0.047506984777557264
smoke,-0.04739172390659088
sky,-0.04714641279646271
president,-0.04701845587734138
dance,-0.04672259199110234
everytime,-0.046667956874552295
someone else,-0.046621334021886875
alright,-0.04615528675071524
position,-0.04598191927773251
sell,-0.04511092267832183
attention,-0.044871206541810316
extremely,-0.04485885394036704
ask,-0.04431141860735734
behind,-0.04428098429573982
personally,-0.04406168917202631
joe,-0.04309596756349761
mark,-0.0430329355164538
police,-0.042919980574471626
though,-0.04274094843417202
child,-0.042631376066068205
business,-0.04201193460591203
healthy,-0.0419174823562844
national,-0.041678728180851284
give we,-0.04158368497304148
practice,-0.04132051488043754
gain,-0.04123981639116336
moment,-0.041152613936162395
chicken,-0.040876201845406204
baby,-0.04063452104375176
convince,-0.040563984907061
place,-0.04050971112266948
mask,-0.04045419993654752
seem like,-0.04035205299607644
donate,-0.04018237979080084
match,-0.03958672630500884
time life,-0.03902196663893027
fandom,-0.038539816313212495
ten,-0.03836901740603016
nt understand,-0.0382460000512295
should nt,-0.037263670583577754
nt go,-0.03675793803383502
wide,-0.03588482546814022
expose,-0.03576392171710002
suicidal thought,-0.0357233817468972
good friend,-0.035433496736306615
recognize,-0.034902766674054515
want get,-0.03436429987480543
peace,-0.034105448820805316
new,-0.034009505109636906
era,-0.03369553841156527
visit,-0.033555992202153544
gon,-0.03339863042214907
we,-0.03333802509208135
really like,-0.03314487733238626
huge,-0.032809684985866595
high,-0.03227973461982942
star,-0.031852416805167254
far,-0.031751351520484285
program,-0.03038429395924188
story,-0.029305782628822
honestly,-0.02910754620836468
a,-0.029064599319763778
reminder,-0.02888843075964723
five,-0.02882297734810188
responsible,-0.028558446080507487
interesting,-0.028070846502613205
last day,-0.027714940918258553
learn,-0.027198506802452664
they,-0.027027923991177937
session,-0.026582793553380907
go get,-0.02635571833412522
regard,-0.025369545960448023
should,-0.02512070493588131
comment,-0.02477820318678278
worker,-0.024290849414650893
basic,-0.024255138879255577
country ama,-0.024247872069896304
wave,-0.024111519139465312
they re,-0.02409398213611381
similar,-0.0240121655935195
involve,-0.02377369994529049
host,-0.023756509948397477
spiral,-0.02362828686684192
reply,-0.023483490244903506
number,-0.022929064736015095
obvious,-0.022395729508365186
sense,-0.022327389126349774
january,-0.022237941411264603
term,-0.02186092982079035
girl,-0.021603994800988176
wait,-0.021271289363846174
jungkook,-0.021257245452996523
like go,-0.020962350204535428
encourage,-0.020845473547552274
next week,-0.020753603764312366
question,-0.02052504884859154
go sleep,-0.019184061707601414
run,-0.019108841525884393
conversation,-0.018790308375287983
seek,-0.018706528499712213
somebody,-0.017624924434380136
wind,-0.01739044411235669
drown,-0.01694558538591118
talent,-0.01691210154126927
voting bts,-0.016686371880219902
you ve,-0.015828349173625387
discussion,-0.014802926561588667
social anxiety,-0.014671570092158016
answer,-0.014260981493952208
look forward,-0.014130592022261237
sale,-0.013816394303795956
afford,-0.013458132824934486
group pop,-0.013449150986937847
favorite duo,-0.013445857664019841
duo group,-0.01343928128664694
duo,-0.013419633792569018
dude,-0.013008205776984826
pull,-0.012914131229448499
bts favorite,-0.012791103197035488
edge,-0.012450492231722857
pop rock,-0.012373063611457763
rock ama,-0.012193039759131967
rather,-0.011752123708808525
experience,-0.011514688242213179
never see,-0.01093228050002929
awareness,-0.010927103408975286
aspect,-0.010864810661314601
american,-0.01028486773454014
active,-0.010222991411647672
watch,-0.00986950234560989
money,-0.009748928933225341
prepare,-0.009111729983413837
site,-0.008404648101864252
offer,-0.00839329742562386
especially,-0.008360439528585686
really think,-0.008119042951566945
shut,-0.008059799660827196
bar,-0.007991396663842734
please,-0.007890429476240083
photo,-0.007625411313768988
day day,-0.0075227642976583705
trend,-0.007444807395858629
vibe,-0.007084848789307108
november,-0.007080204815198443
physical,-0.007000250392487523
record,-0.006706014338766611
vs,-0.00631290885314578
find,-0.006098656195960381
raise,-0.005851397641906239
much well,-0.00561702631149969
somehow,-0.005271882951004188
content,-0.005174823141048968
remember,-0.005012778783618121
responsibility,-0.00445917099942559
ride,-0.004332553601463021
remain,-0.004117489133561428
chest,-0.003498829668038157
role,-0.0030023070671642044
wish,-0.0027308569394635307
nt wanna,-0.002655861907333167
half,-0.002562170580165186
yeah,-0.00229943623772846
evening,-0.0018298795061611652
amount,-0.0017781900224816012
nt think,-0.0007592468431074379
band,-0.00043298673973998417
favorite female,0.0
folklore favorite,0.0
album pop,0.0
favorite artist,0.0
latin ama,0.0
gaga,0.0
billie,0.0
pilot favorite,0.0
favorite male,0.0
bieber favorite,0.0
gaga favorite,0.0
favorite album,0.0
billie eilish,0.0
female hip,0.0
folklore,0.0
female artist,0.0
swift artist,0.0
alternative rock,0.0
swift favorite,0.0
line favorite,0.0
rt vote,0.0
prey,0.0
ama bts,0.0
favorite music,0.0
ama exo,0.0
ama rt,0.0
lady gaga,0.0
tired stress,0.0
rap artist,0.0
latin,0.0
bird prey,0.0
favorite soundtrack,0.0
prey album,0.0
rap hip,0.0
stress depression,0.0
grande,0.0
hop ama,0.0
minaj favorite,0.0
minaj,0.0
vote twenty,0.0
voting do,0.0
voting exo,0.0
voting lady,0.0
eilish,0.0
soundtrack ama,0.0
ariana,0.0
male artist,0.0
album favorite,0.0
eilish favorite,0.0
ariana grande,0.0
nicki minaj,0.0
hate feel,0.0
song pop,0.0
hate everything,0.0
reply vote,0.0
artist alternative,0.0
vote taylor,0.0
vote nicki,0.0
voting taylor,0.0
vote justin,0.0
year ama,0.0
start favorite,0.0
video ama,0.0
vote billie,0.0
cry cry,0.0
vote bird,0.0
artist year,0.0
exo favorite,0.0
artist rap,0.0
depressed today,0.0
artist pop,0.0
vote exo,0.0
vote bts,0.0
vote fine,0.0
hop rap,0.0
vote folklore,0.0
slowly,0.0012360411674299453
happen,0.0017895119295969113
rid,0.0019048141044788263
get rid,0.0019204382976311383
life do,0.002903602548863822
currently,0.0036040705157717374
extra,0.0039899772229884676
many thing,0.0041101163114731195
address,0.0044693112807165074
hospital,0.004635620374155671
till,0.004674516220083782
people do,0.005224866416171366
habit,0.00532287042297309
discuss,0.006205292160702838
imagine,0.006564650962750871
you ll,0.006715592892206103
ice,0.0068519401363795
concern,0.006879558312820373
happy birthday,0.006907943417576786
carry,0.006965493805730417
obviously,0.007297606764084589
working,0.007458660220294829
survive,0.007609259181675433
anime,0.007705880401583585
quite,0.008004022094324685
economy,0.008023506285604299
club,0.008065799089298891
hour,0.008504609651192846
second,0.008647595697382033
disease,0.009643533424079096
get help,0.01025218391867679
make happy,0.010684869707789996
anyway,0.010753649391007623
episode,0.010968610898998796
cry even,0.011022944294366118
anti,0.011106931797566926
keep,0.012001236324660474
part,0.012141612148163783
