,coef
n,-3.2022201774872925
amp,-2.552665140145874
start,-2.007458508117864
smile,-1.9961551221411376
amazing,-1.977229970137373
morning,-1.7359866695483017
there,-1.6809526991293335
if you,-1.672419230972119
great,-1.6716699470498246
birthday,-1.514818334561601
you are,-1.5046094063034001
tomorrow,-1.4691662946217687
we,-1.3073857433026366
let,-1.2818290253407396
going to,-1.2680345730001852
excited,-1.262566533504204
thank,-1.1844856028766024
s,-1.128379445541769
make,-1.1208450237772487
first,-1.0868676224886045
best,-1.0227188081496157
love,-0.9961571435389102
i love,-0.9686175271336146
next,-0.9343953491740086
last,-0.9230862683142846
happiness,-0.9195570235035476
is the,-0.8789650099215037
too,-0.8454918559356771
on the,-0.8413418665659872
m,-0.8330128180649625
as,-0.8109387113495109
you,-0.7878094586113714
an,-0.7754327076134047
need to,-0.6638127831116029
makes,-0.6514363878994516
re,-0.6510042657139474
your,-0.6484384580018763
of my,-0.6295074620212338
may,-0.6069552956773181
going,-0.5700973286582104
will,-0.5697418699467516
and i,-0.564601426842423
in,-0.5317934653276607
them,-0.5240472214309565
for the,-0.5205779122408744
twitter com,-0.5136293068679492
com,-0.5136293068679492
pic twitter,-0.5136293068679492
trying,-0.5079104565985859
happy,-0.5062112546445093
a,-0.48245545787072536
w,-0.47800825499493416
help,-0.4088443838024558
work,-0.3724441417494766
way,-0.3385862770345683
has,-0.3342517769709868
t,-0.33265977568171273
that,-0.3236874996958265
he,-0.3110136953845211
than,-0.2950810595042779
watching,-0.2780109421249688
when i,-0.2740189742642675
the,-0.26890433767814753
from,-0.2656117040329195
d,-0.23059639539980295
off,-0.23003434998368272
into,-0.2226697206573467
yourself,-0.2018257531592599
have,-0.1996391468012487
can,-0.19087729408729368
she,-0.1722512275505111
only,-0.1712957927451781
or,-0.17059862220763045
that s,-0.16573411859436954
good,-0.15856029682432818
with,-0.14883200547607972
where,-0.14275835449216015
at,-0.1365648186319515
see,-0.13196437800532085
new,-0.10742435549428077
was,-0.10566316089451339
for,-0.10495525734793663
on,-0.10357901893118915
people,-0.09393567669863281
all,-0.09000641804234098
even,-0.08788382168245132
his,-0.08620181180003826
at the,-0.07189196456807978
any,-0.06067090080075269
to get,-0.05998986690207484
christmas,-0.0425062779015388
how,-0.03230204286578278
but i,-0.015614205048107751
our,-0.012951218875686453
us,-0.009683439535649143
u,-0.004224023987497671
ll,0.00028180481037804795
to do,0.005255192122590687
right,0.009604493474125488
but,0.010630411845415693
i have,0.016627375633018943
would,0.05672146939549854
have a,0.058389268828221506
out,0.07360543044609516
more,0.07616017791848442
don t,0.0864977132848384
don,0.0864977132848384
ve,0.09891543979678953
her,0.1045767987009764
look,0.10552196450453653
who,0.14768824856439802
what,0.1520178248473588
want,0.15586653695583277
i am,0.18147544596380896
so much,0.20450531958720933
so,0.2364301823837105
of the,0.2534095431603312
by,0.2537538799525529
i just,0.2584440352628269
that i,0.28361740150797643
years,0.3305111768604506
most,0.35227077878225843
other,0.3594703500197056
are,0.3632594526207616
hope,0.3662479688767203
got,0.3687262120515406
i ve,0.3791738634970896
didn t,0.3871974983932094
didn,0.3871974983932094
today,0.3882834815418987
had,0.39633448730452386
this,0.41117544683228674
still,0.4155180124889367
when you,0.4208904676910752
then,0.4387857085847397
this is,0.4551905363762895
some,0.45547214841683104
keep,0.46303680339193637
is,0.46595161212069636
days,0.47019895584837773
it,0.5093857909140459
heart,0.5142917592980044
want to,0.5275868374261983
about,0.5357631237440866
time,0.5437713214458393
always,0.5438322820076071
get,0.5553464817036295
i was,0.5609717163184713
through,0.5627783981092039
over,0.5704254764733868
here,0.5902260260335953
pic,0.5926415964778318
say,0.6045941844276964
stop,0.6068209682213564
really,0.6077308548025047
god,0.6093287236233346
never,0.6339299950111413
