,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 172)	0.5702990244367228
  (0, 130)	0.5792881167167013"
1,"  (0, 23)	0.6163811596484121
  (0, 17)	0.2230988437647358
  (0, 156)	0.25805937186597955
  (0, 81)	0.40690086441304724
  (0, 177)	0.530626947414193
  (0, 75)	0.2378513438079817"
2,"  (0, 77)	0.2545867983376796
  (0, 124)	0.46314736969641224
  (0, 136)	0.4269426539599133
  (0, 66)	0.26549729145622425
  (0, 167)	0.5637379633607406
  (0, 58)	0.33381867419944933
  (0, 156)	0.19666172971919355"
3,"  (0, 88)	0.2761771239602827
  (0, 105)	0.19056982648995438
  (0, 117)	0.19011578966746764
  (0, 79)	0.18996509338186826
  (0, 91)	0.3499061320630717
  (0, 10)	0.1659679252743712
  (0, 89)	0.2597754328751513
  (0, 120)	0.2837552002597189
  (0, 119)	0.2367629842980665
  (0, 116)	0.2849076816493709
  (0, 174)	0.27415396878700554
  (0, 57)	0.3663292071150029
  (0, 156)	0.3037216349230617
  (0, 75)	0.27993790145131736"
4,"  (0, 146)	0.24871071867481487
  (0, 200)	0.19738443105252468
  (0, 181)	0.22584422718597885
  (0, 199)	0.1437200271801515
  (0, 186)	0.22250735134192506
  (0, 201)	0.5908878252332551
  (0, 88)	0.21436103590086722
  (0, 77)	0.6103513281078217
  (0, 17)	0.1019017310101907"
5,"  (0, 155)	0.30392938066499253
  (0, 152)	0.46811505883411686
  (0, 27)	0.5165446650310791
  (0, 158)	0.47530761082932466
  (0, 10)	0.22913330313201308
  (0, 174)	0.37849364165437166"
6,"  (0, 197)	0.36356078451684354
  (0, 110)	0.38866117756238044
  (0, 137)	0.3678541233619258
  (0, 169)	0.46715875388601413
  (0, 199)	0.22725148814646795
  (0, 77)	0.24127334639105757
  (0, 124)	0.43892737757223704
  (0, 17)	0.16112799636295275
  (0, 156)	0.18637743176874266"
7,"  (0, 52)	0.17674044465225625
  (0, 160)	0.2707066590376598
  (0, 144)	0.3187228659683295
  (0, 164)	0.19513570368576932
  (0, 41)	0.2078910843154817
  (0, 122)	0.24095552044896873
  (0, 21)	0.5997336330520558
  (0, 49)	0.20376798508206373
  (0, 74)	0.24401885536728007
  (0, 128)	0.24836658893796107
  (0, 150)	0.1741083993944128
  (0, 66)	0.172677721959913
  (0, 167)	0.2444343512546506
  (0, 17)	0.11057927903633498"
8,"  (0, 196)	0.27348705070000784
  (0, 190)	0.25897317283212123
  (0, 99)	0.18300575053317653
  (0, 42)	0.21886420195642886
  (0, 76)	0.22864492095989508
  (0, 83)	0.2393633280732043
  (0, 26)	0.2546174538440839
  (0, 141)	0.18340801689670205
  (0, 96)	0.22194267165414078
  (0, 164)	0.1889118381298553
  (0, 128)	0.24044492094520833
  (0, 150)	0.33711040206574105
  (0, 155)	0.17950700717204168
  (0, 89)	0.21182189506061788
  (0, 17)	0.10705234596876922
  (0, 156)	0.1238278992902912
  (0, 75)	0.45652490020647035"
9,"  (0, 118)	0.6187023617274297
  (0, 68)	0.6508932119660601
  (0, 200)	0.43993796631957816"
10,"  (0, 113)	0.27369743752722914
  (0, 193)	0.2270692893699627
  (0, 0)	0.15955635995158038
  (0, 76)	0.26992197270991625
  (0, 52)	0.20199241374230964
  (0, 158)	0.3314058499647815
  (0, 181)	0.5601834809342914
  (0, 199)	0.3564828116658035
  (0, 167)	0.13967907772498672
  (0, 30)	0.23598626638956668
  (0, 172)	0.23108485681059132
  (0, 130)	0.23472723214943694"
11,"  (0, 22)	0.8127317732774421
  (0, 63)	0.5826380220216533"
12,"  (0, 112)	0.43188848857341944
